,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.06433709462483723,0.00045513173521117195,0.00734559694925944,0.0004887910898949743,True,80,2,3,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",0.7912457912457912,0.8451178451178452,0.8249158249158249,0.8204264870931538,0.022221088522136213,234,0.9023569023569024,0.8686868686868687,0.8686868686868687,0.8799102132435467,0.015872206087240104
1,0.12366064389546712,0.0009462286516413981,0.013655583063761393,0.0009501356860361992,True,80,2,3,8,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.8080808080808081,0.8518518518518519,0.8282828282828283,0.8294051627384961,0.01788706784568938,23,0.9006734006734006,0.8703703703703703,0.8720538720538721,0.8810325476992144,0.01390517586236122
2,0.18199817339579263,0.0029594463551797408,0.020667473475138348,0.0004711462140166774,True,80,2,3,8,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}",0.8080808080808081,0.8518518518518519,0.8282828282828283,0.8294051627384961,0.01788706784568938,23,0.8922558922558923,0.8737373737373737,0.8686868686868687,0.878226711560045,0.01013213809498755
3,0.6026762326558431,0.012956206095413252,0.06299948692321777,0.0008207201661325785,True,80,2,3,8,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1000}",0.8047138047138047,0.8518518518518519,0.8282828282828283,0.8282828282828283,0.019244027159912736,40,0.9006734006734006,0.8703703703703703,0.8703703703703703,0.8804713804713805,0.0142849854785161
4,0.0616610050201416,0.000947977954924625,0.007005055745442708,7.704359880064115e-06,True,80,2,3,10,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.8013468013468014,0.8383838383838383,0.8249158249158249,0.8215488215488216,0.015306601231185001,209,0.8939393939393939,0.8653198653198653,0.8602693602693603,0.8731762065095398,0.014825863988353425
5,0.12266246477762859,0.0009470284147179007,0.012999137242635092,1.4349198409134378e-06,True,80,2,3,10,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.8047138047138047,0.8552188552188552,0.8249158249158249,0.8282828282828283,0.020755602703599243,40,0.8956228956228957,0.8737373737373737,0.8636363636363636,0.8776655443322111,0.01335059175462439
6,0.18065969149271646,0.0004664777685646616,0.018999735514322918,2.354865454042602e-06,True,80,2,3,10,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}",0.8080808080808081,0.8451178451178452,0.8282828282828283,0.8271604938271605,0.015141119599587048,68,0.8872053872053872,0.8686868686868687,0.8703703703703703,0.8754208754208754,0.008361203381454173
7,0.5879990259806315,0.006135476488591079,0.0626672903696696,0.00047080875797289405,True,80,2,3,10,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 1000}",0.8047138047138047,0.8518518518518519,0.8282828282828283,0.8282828282828283,0.019244027159912736,40,0.8905723905723906,0.867003367003367,0.8686868686868687,0.8754208754208754,0.010735761206346226
8,0.06166378657023112,0.0017033704587442417,0.00699925422668457,1.3486991523486091e-06,True,80,2,3,12,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 100}",0.8013468013468014,0.8417508417508418,0.8249158249158249,0.8226711560044894,0.01657106965233829,180,0.8939393939393939,0.8636363636363636,0.8686868686868687,0.8754208754208754,0.013255905511804377
9,0.12099870045979817,0.0021618929819979945,0.012668291727701822,0.0004740132451214509,True,80,2,3,12,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 200}",0.8080808080808081,0.8518518518518519,0.8215488215488216,0.8271604938271605,0.018304721021661162,68,0.8888888888888888,0.8619528619528619,0.8636363636363636,0.8714927048260382,0.012320145005667856
10,0.1809964974721273,0.002169346027824027,0.01965610186258952,0.0016856047672993669,True,80,2,3,12,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 300}",0.8047138047138047,0.8484848484848485,0.8181818181818182,0.8237934904601572,0.018304721021661162,138,0.8872053872053872,0.867003367003367,0.8636363636363636,0.872615039281706,0.010408101566212916
11,0.5893489519755045,0.011814693153723717,0.0646507740020752,0.003069413238528977,True,80,2,3,12,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 1000}",0.8013468013468014,0.8552188552188552,0.8249158249158249,0.8271604938271605,0.022050373405598758,68,0.8872053872053872,0.8602693602693603,0.8619528619528619,0.8698092031425365,0.01232014500566788
