,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.06933887799580891,0.0016913526738878532,0.00799560546875,5.615082337905786e-06,True,80,2,3,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",0.8192219679633868,0.8440366972477065,0.8830275229357798,0.8487394957983193,0.026264588021711704,46,0.8967889908256881,0.8980526918671249,0.8854524627720504,0.8934313818216211,0.005665485973873399
1,0.13700652122497559,0.0008350445460749514,0.015004873275756836,6.581389304085856e-06,True,80,2,3,8,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.8237986270022883,0.841743119266055,0.8899082568807339,0.8517952635599695,0.027913367175836746,2,0.8979357798165137,0.9003436426116839,0.8808705612829324,0.8930499945703767,0.008668079264849481
2,0.19899280865987143,0.002166398998702559,0.02331995964050293,0.00045484945564706983,True,80,2,3,8,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}",0.8192219679633868,0.8371559633027523,0.8853211009174312,0.8472116119174943,0.027909852618819477,113,0.8944954128440367,0.8946162657502864,0.8854524627720504,0.8915213804554578,0.004291656458930435
3,0.6499932607014974,0.0029362751788489442,0.07466411590576172,0.0004448487340858645,True,80,2,3,8,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1000}",0.8237986270022883,0.841743119266055,0.8738532110091743,0.8464476699770818,0.020707234803989054,160,0.8944954128440367,0.8969072164948454,0.8831615120274914,0.8915213804554578,0.005992759481919051
4,0.06667812665303548,0.00048037820854630815,0.007989327112833658,1.685012051215976e-05,True,80,2,3,10,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.8192219679633868,0.8394495412844036,0.8784403669724771,0.8456837280366692,0.024578497979141974,199,0.8944954128440367,0.8957617411225659,0.8774341351660939,0.8892304297108988,0.008357245182797826
5,0.1329976717631022,0.0016350169083723472,0.015667835871378582,0.0004694598580568356,True,80,2,3,10,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.8260869565217391,0.8440366972477065,0.8876146788990825,0.852559205500382,0.0258352198448696,1,0.893348623853211,0.8969072164948454,0.8762886597938144,0.888848166713957,0.008998955715529975
6,0.1999986171722412,0.0008153688369995938,0.02434531847635905,0.0012613061875597006,True,80,2,3,10,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}",0.8306636155606407,0.8371559633027523,0.8784403669724771,0.8487394957983193,0.02115640350163153,46,0.8956422018348624,0.8946162657502864,0.8774341351660939,0.8892308675837476,0.00835205795049737
7,0.6636531352996826,0.020540624895728006,0.07434638341267903,0.00048800570773277995,True,80,2,3,10,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 1000}",0.8237986270022883,0.8394495412844036,0.8807339449541285,0.8479755538579068,0.02401629048322673,73,0.893348623853211,0.8946162657502864,0.8774341351660939,0.8884663415898638,0.007818094948144633
8,0.06766740481058757,0.00170884593864029,0.008322874704996744,0.0004789290767895601,True,80,2,3,12,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 100}",0.8283752860411899,0.841743119266055,0.8784403669724771,0.8495034377387318,0.021165723594173957,25,0.8979357798165137,0.8946162657502864,0.8762886597938144,0.8896135684535382,0.00951909262137438
9,0.13333368301391602,0.0012356621221435826,0.016323963801066082,0.00045339037303696505,True,80,2,3,12,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 200}",0.8192219679633868,0.8371559633027523,0.8761467889908257,0.8441558441558441,0.023764453021557063,257,0.8922018348623854,0.8957617411225659,0.8762886597938144,0.8880840785929219,0.008466292444357272
10,0.1963671843210856,0.0009438653461411635,0.02333227793375651,0.00047243832457325894,True,80,2,3,12,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 300}",0.816933638443936,0.8394495412844036,0.8807339449541285,0.8456837280366692,0.026421235995163533,199,0.8910550458715596,0.8923253150057274,0.8751431844215349,0.8861745150996073,0.00781754813715232
11,0.6473329067230225,0.006184946827118822,0.07665785153706868,0.0031007500254328657,True,80,2,3,12,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 1000}",0.816933638443936,0.8371559633027523,0.8784403669724771,0.8441558441558441,0.02559734469017541,257,0.8944954128440367,0.8934707903780069,0.8739977090492554,0.887321304090433,0.009430486074974848
12,0.06799793243408203,0.0007850959335714235,0.008341073989868164,0.0004831724517151593,True,80,2,4,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 100}",0.8215102974828375,0.8394495412844036,0.8807339449541285,0.8472116119174943,0.024796900794461868,113,0.8876146788990825,0.8969072164948454,0.8774341351660939,0.8873186768533406,0.007952606994663443
13,0.13235108057657877,0.000495197410367136,0.015017191569010416,2.5007319539784626e-05,True,80,2,4,8,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 200}",0.8215102974828375,0.8394495412844036,0.8876146788990825,0.8495034377387318,0.027911609842905336,25,0.8910550458715596,0.8934707903780069,0.8751431844215349,0.8865563402237004,0.00813035667128597
14,0.20498410860697427,0.014874285232063637,0.02334117889404297,0.00044273942830314603,True,80,2,4,8,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 300}",0.8215102974828375,0.8394495412844036,0.8876146788990825,0.8495034377387318,0.027911609842905336,25,0.893348623853211,0.8934707903780069,0.8774341351660939,0.8880845164657707,0.0075311219853052645
15,0.6500090758005778,0.008051383485516319,0.07333803176879883,0.0004779453513132094,True,80,2,4,8,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 1000}",0.8215102974828375,0.8394495412844036,0.8830275229357798,0.8479755538579068,0.025831629341374767,73,0.8922018348623854,0.8911798396334479,0.8762886597938144,0.8865567780965492,0.007272634033196453
16,0.07500155766805013,0.008827719646311627,0.008334159851074219,0.0004977127413972118,True,80,2,4,10,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.816933638443936,0.8394495412844036,0.8738532110091743,0.8433919022154316,0.023408133315121954,272,0.8956422018348624,0.8900343642611683,0.872852233676976,0.8861762665910021,0.009695681182319464
17,0.13566390673319498,0.0012461516928938168,0.015321572621663412,0.00048029970953264,True,80,2,4,10,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.8146453089244852,0.8394495412844036,0.8830275229357798,0.8456837280366692,0.02826767558056246,199,0.8887614678899083,0.8923253150057274,0.8717067583046965,0.8842645137334441,0.008998080077528128
18,0.19597744941711426,0.0024502473755038654,0.023332834243774414,0.0004706966482471381,True,80,2,4,10,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.8215102974828375,0.8394495412844036,0.8876146788990825,0.8495034377387318,0.027911609842905336,25,0.8944954128440367,0.8923253150057274,0.8717067583046965,0.8861758287181535,0.010269463800645171
19,0.6393195788065592,0.005261183551539477,0.07266513506571452,0.00047215745609061207,True,80,2,4,10,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 1000}",0.816933638443936,0.841743119266055,0.8830275229357798,0.8472116119174943,0.027263146391881966,113,0.8910550458715596,0.8934707903780069,0.872852233676976,0.8857926899755141,0.00920327884654487
20,0.06598019599914551,0.0008317599046538305,0.008349736531575521,0.0004592980860034652,True,80,2,4,12,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 12, 'n_estimators': 100}",0.816933638443936,0.8394495412844036,0.8830275229357798,0.8464476699770818,0.027437254346694393,160,0.8876146788990825,0.8888888888888888,0.8694158075601375,0.8819731251160362,0.008894589026454744
21,0.13765311241149902,0.0070211850509397265,0.015663305918375652,0.0009659762540003035,True,80,2,4,12,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 12, 'n_estimators': 200}",0.8215102974828375,0.8371559633027523,0.8944954128440367,0.851031321619557,0.03137347571565267,8,0.8887614678899083,0.8923253150057274,0.870561282932417,0.8838826886093508,0.00953135661814269
22,0.19967238108317056,0.004907111295279301,0.02301613489786784,0.0007996410179431463,True,80,2,4,12,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 12, 'n_estimators': 300}",0.8192219679633868,0.8394495412844036,0.8830275229357798,0.8472116119174943,0.02662467758776838,113,0.8876146788990825,0.8888888888888888,0.872852233676976,0.8831186004883157,0.007278031712089257
23,0.6346545219421387,0.005798622511234306,0.07433446248372395,0.002041733620816995,True,80,2,4,12,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 12, 'n_estimators': 1000}",0.816933638443936,0.8394495412844036,0.8876146788990825,0.8479755538579068,0.029483159158817537,73,0.8876146788990825,0.8900343642611683,0.870561282932417,0.8827367753642226,0.008665859498845277
24,0.0670170783996582,1.3714077628631346e-05,0.007998307545979818,1.8399297241831186e-06,True,80,2,5,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 100}",0.816933638443936,0.841743119266055,0.8853211009174312,0.8479755538579068,0.028269599527275938,73,0.8853211009174312,0.8888888888888888,0.868270332187858,0.8808267739980593,0.00899742374060668
25,0.14066084225972494,0.013022374647423141,0.01498881975809733,1.6340903220641145e-05,True,80,2,5,8,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 200}",0.8192219679633868,0.8371559633027523,0.8899082568807339,0.8487394957983193,0.030001463857703116,46,0.8864678899082569,0.8877434135166093,0.868270332187858,0.8808272118709081,0.008894311314910338
26,0.1909975210825602,0.0008168287172408674,0.023334741592407227,0.00094392263088274,True,80,2,5,8,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 300}",0.8146453089244852,0.8371559633027523,0.8899082568807339,0.8472116119174943,0.031542744300186505,113,0.8853211009174312,0.8934707903780069,0.8671248568155785,0.8819722493703388,0.011013269536709499
27,0.6333159605662028,0.007710552984967438,0.0729981263478597,2.793762102331417e-05,True,80,2,5,8,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 1000}",0.8215102974828375,0.8348623853211009,0.8876146788990825,0.8479755538579068,0.02853865009401373,73,0.8864678899082569,0.8877434135166093,0.8694158075601375,0.8812090369950013,0.008355315094651579
28,0.06601357460021973,0.002141348164967448,0.007998466491699219,9.36836371631074e-06,True,80,2,5,10,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8215102974828375,0.841743119266055,0.8876146788990825,0.8502673796791443,0.027656198777416725,16,0.8841743119266054,0.8900343642611683,0.8694158075601375,0.8812081612493037,0.008674858595917632
29,0.1309997240702311,0.002173633531258807,0.015322287877400717,0.0004556359045706231,True,80,2,5,10,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.8146453089244852,0.841743119266055,0.8830275229357798,0.8464476699770818,0.028119475855793552,160,0.8841743119266054,0.8865979381443299,0.868270332187858,0.8796808607529311,0.008128903682193656
30,0.19132892290751138,0.0012480606092500153,0.02267742156982422,0.0004573776932510828,True,80,2,5,10,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.816933638443936,0.8348623853211009,0.8922018348623854,0.8479755538579068,0.0321007076565746,73,0.8841743119266054,0.8888888888888888,0.870561282932417,0.8812081612493037,0.0077706208419606035
31,0.6379971504211426,0.0008158533980055094,0.0743248462677002,0.0012417971822602809,True,80,2,5,10,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 1000}",0.8192219679633868,0.8348623853211009,0.8899082568807339,0.8479755538579068,0.030314265277481586,73,0.8853211009174312,0.8911798396334479,0.868270332187858,0.8815904242462457,0.009717676134020971
32,0.06632272402445476,0.00045642243752899936,0.008012930552164713,1.4899836587311964e-05,True,80,2,5,12,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 5, 'min_samples_split': 12, 'n_estimators': 100}",0.816933638443936,0.8348623853211009,0.8899082568807339,0.8472116119174943,0.031049176532120023,113,0.8841743119266054,0.8831615120274914,0.8648339060710195,0.8773899100083721,0.00888805817056504
33,0.1283381779988607,0.00047991531306124086,0.015317360560099283,0.00044664628132178415,True,80,2,5,12,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 5, 'min_samples_split': 12, 'n_estimators': 200}",0.8192219679633868,0.8371559633027523,0.8967889908256881,0.851031321619557,0.03315581504183489,8,0.8876146788990825,0.8865979381443299,0.8694158075601375,0.88120947486785,0.008349705857667413
34,0.19066278139750162,0.0009355481516749524,0.022665898005167644,0.00044818407613653655,True,80,2,5,12,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 5, 'min_samples_split': 12, 'n_estimators': 300}",0.816933638443936,0.8371559633027523,0.8876146788990825,0.8472116119174943,0.029722920184403184,113,0.8887614678899083,0.8900343642611683,0.865979381443299,0.8815917378647918,0.011051827030459383
35,0.6347002188364664,0.006325972370408335,0.08332784970601399,0.013903439776088078,True,80,2,5,12,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 5, 'min_samples_split': 12, 'n_estimators': 1000}",0.8192219679633868,0.8371559633027523,0.8876146788990825,0.8479755538579068,0.02895436582415811,73,0.8853211009174312,0.8888888888888888,0.868270332187858,0.8808267739980593,0.00899742374060668
36,0.07269326845804851,0.0017065148557108341,0.007985115051269531,2.413176078164814e-05,True,80,3,3,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",0.8237986270022883,0.8440366972477065,0.8692660550458715,0.8456837280366692,0.01860198355105751,199,0.8979357798165137,0.9049255441008018,0.8831615120274914,0.8953409453149357,0.00907260152289873
37,0.14569528897603354,0.0028596236617362426,0.015982945760091145,2.2822967087973656e-05,True,80,3,3,8,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.8260869565217391,0.8440366972477065,0.8761467889908257,0.8487394957983193,0.02070915133139543,46,0.9002293577981652,0.9003436426116839,0.8831615120274914,0.8945781708124468,0.008072931669628042
38,0.2156399885813395,0.007584407418145514,0.02335659662882487,0.00048040621262748854,True,80,3,3,8,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}",0.8260869565217391,0.8440366972477065,0.8807339449541285,0.8502673796791443,0.02274408679943576,16,0.9036697247706422,0.9037800687285223,0.8854524627720504,0.8976340854237383,0.008613825776751691
