,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.06668655077616374,0.0018909953767325687,0.006998221079508464,8.020067730930877e-06,True,80,3,3,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",0.8175675675675675,0.8344594594594594,0.8243243243243243,0.8254504504504504,0.006941907661001095,6,0.8716216216216216,0.8733108108108109,0.8885135135135135,0.8778153153153153,0.007596136015333341
1,0.13333026568094888,0.0044572828320129975,0.013336658477783203,0.0004687584946197142,True,80,3,3,8,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.8141891891891891,0.8344594594594594,0.8277027027027027,0.8254504504504504,0.008427156276517899,6,0.875,0.8918918918918919,0.8851351351351351,0.884009009009009,0.006941907661001095
2,0.19332591692606607,0.0016754519926902992,0.020335674285888672,0.0004975194617496916,True,80,3,3,8,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}",0.8277027027027027,0.8277027027027027,0.8243243243243243,0.8265765765765766,0.001592582840510252,2,0.8800675675675675,0.8851351351351351,0.8817567567567568,0.8823198198198199,0.0021067890691294547
3,0.0670007864634196,0.0024629426731043198,0.007665952046712239,0.000471763814700398,True,90,3,3,8,100,"{'bootstrap': True, 'max_depth': 90, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",0.8277027027027027,0.831081081081081,0.8209459459459459,0.8265765765765766,0.00421357813825893,2,0.8766891891891891,0.8800675675675675,0.8851351351351351,0.8806306306306305,0.0034709538305005474
4,0.13201419512430826,0.005085191490879654,0.013984918594360352,0.0008304568485824396,True,90,3,3,8,200,"{'bootstrap': True, 'max_depth': 90, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.8243243243243243,0.8243243243243243,0.8243243243243243,0.8243243243243243,0.0,8,0.8766891891891891,0.8834459459459459,0.8868243243243243,0.8823198198198199,0.004213578138258969
5,0.19267638524373373,0.0004573747657305327,0.020673831303914387,0.0012241381680637025,True,90,3,3,8,300,"{'bootstrap': True, 'max_depth': 90, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}",0.8209459459459459,0.8277027027027027,0.8209459459459459,0.8231981981981982,0.003185165681020504,10,0.875,0.8885135135135135,0.8783783783783784,0.8806306306306307,0.005742139091883752
6,0.06799848874409993,0.0016052323476357482,0.007010618845621745,1.607317712174365e-05,True,100,3,3,8,100,"{'bootstrap': True, 'max_depth': 100, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",0.8209459459459459,0.8277027027027027,0.8209459459459459,0.8231981981981982,0.003185165681020504,10,0.8783783783783784,0.8834459459459459,0.8783783783783784,0.8800675675675675,0.002388874260765352
7,0.13700596491495767,0.005856614538063185,0.014332135518391928,0.0009421231620961035,True,100,3,3,8,200,"{'bootstrap': True, 'max_depth': 100, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.831081081081081,0.8378378378378378,0.8243243243243243,0.831081081081081,0.0055168687900521915,1,0.8716216216216216,0.8783783783783784,0.8851351351351351,0.8783783783783784,0.0055168687900521915
8,0.20066173871358237,0.015077540934132773,0.02067263921101888,0.0009725993706499159,True,100,3,3,8,300,"{'bootstrap': True, 'max_depth': 100, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}",0.8209459459459459,0.8277027027027027,0.8243243243243243,0.8243243243243243,0.0027584343950261187,8,0.8716216216216216,0.8885135135135135,0.8783783783783784,0.8795045045045046,0.006941907661001095
9,0.07099159558614095,0.006693319991960519,0.007329861323038737,0.00046350396401221574,True,110,3,3,8,100,"{'bootstrap': True, 'max_depth': 110, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",0.8175675675675675,0.8378378378378378,0.8243243243243243,0.8265765765765766,0.008427156276517888,2,0.8783783783783784,0.8851351351351351,0.8868243243243243,0.8834459459459459,0.0036490657085629726
10,0.13000988960266113,0.0037444784835474207,0.013333559036254883,0.00047238187811010033,True,110,3,3,8,200,"{'bootstrap': True, 'max_depth': 110, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.8209459459459459,0.831081081081081,0.8175675675675675,0.8231981981981982,0.005742139091883752,10,0.8766891891891891,0.8885135135135135,0.8800675675675675,0.8817567567567567,0.004972838325635055
11,0.19832046826680502,0.006204913242574179,0.020663658777872723,0.0004961019665542968,True,110,3,3,8,300,"{'bootstrap': True, 'max_depth': 110, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}",0.8209459459459459,0.831081081081081,0.8277027027027027,0.8265765765765766,0.00421357813825893,2,0.8733108108108109,0.8902027027027027,0.8851351351351351,0.8828828828828829,0.0070775929560678566
